id,latitude,longitude,description_jp,description_en,type,universal
1,35.626344,139.780025,東京テレポート駅前,Near Tokyo Teleport Station,public,yes
2,35.623847,139.775097,ダイバーシティ東京プラザ前,Near the Divercity Tokyo Plaza,public,yes
3,35.620732,139.777260,科学未来館付近,Near Miraikan,public,yes
4,35.605658,139.734724,JR大井町駅南側,On the south of JR Oimachi Station,public,no
5,35.619996,139.780546,青海中央埠頭公園,Aomi Central Warf Park,public,no
6,35.667543,139.771653,築地駅2番出口,Tsukiji Station Exit No. 2,station,yes
7,31.593552,130.553460,中央公園（鹿児島市）,Chuo Park (Kagoshima City),public,yes
8,31.571762,130.546116,鹿児島大学総合研究博物館,Kagoshima University Museum,museum,yes
9,35.638896,139.758879,レインボーブリッジ駐車場,Parking lot of Rainbow Bridge,public,no
10,35.6328384,139.7776242,お台場レインボー公園,Odaiba Rainbow Park,public,yes
11,34.394156,132.452071,広島平和記念公園 原爆の子の像付近,Near Children's Peace Monument at Hiroshima Peace Memorial Park,public,yes
12,35.171082,136.882972,ビックカメラ名古屋JRゲートタワー店,BIC Camera Nanoga JR Gate Tower,mall,yes
13,35.551001,139.788613,羽田空港ANA国内線ラウンジ,Haneda Airport ANA Domestic Lounge,airport,yes
14,35.726150,139.762559,須藤公園,Sudo Park,public,yes
